Population = 30,Population = 50,Population = 100,Population = 200
0.009715909877514417,0.009717683206066308,0.009715909877514362,0.009715909877514417
0.009715909877514417,0.009715909877514362,0.009715909877514362,0.009715909877514362
0.009715909877514362,0.009715909877514417,0.009715909877514362,0.009715909877514473
0.009715909877514417,0.009715909877514417,0.009715909877514362,0.009715909877514417
0.009715909877514362,0.009715909877514362,0.009715909877514362,0.009715909877514417
0.009715909877514417,0.009715909877514362,0.009715909877514362,2.313870429149212E-6
0.009715909877514417,7.265224137663062E-4,0.009715909877514362,0.009715909877514417
0.009715909877514417,0.009715909877514362,0.0,0.009715909877514417
0.009715909877514417,0.03722407510748782,0.009715909877514362,0.009715909877514417
0.009715909877514362,0.03722407510748782,0.009715909877514362,0.009715909877514362
0.009715909877514417,0.009715909877514362,0.009715909877514362,0.009715909877514417
0.009715909877514362,0.009715909877514417,0.009715909877514362,0.009715909877514362
0.009715909877514417,0.009715909877514362,0.009715909877514362,0.009715909877514417
0.009715909877514417,0.009715909877514362,0.009715909877514362,6.744311576795115E-4
0.009715909877514362,0.037224075107487875,0.009715909877514362,0.009715909877514417
0.0,0.009715909877514362,0.009715909877514417,0.009715909877515028
0.009715909877514362,0.009715909877514417,0.009715909877514362,1.123856724349892E-8
0.037224075107487875,0.009715909877514417,0.009715909877514362,2.1426247906775053E-4
0.009715909877514362,0.009715909877514362,0.03722407510748782,0.009715909877514417
0.009715909877514362,0.009715909877514362,0.009715909877514362,0.009715909877514417
0.03722407510748782,0.009715909877514362,0.009715909877514362,8.25217577049564E-8
0.009715909877514417,0.009715909877514362,0.12699051873930806,8.343346646899619E-8
0.009715909877514417,0.009715909877514362,0.009715909877514362,0.009715909877514362
0.009715909877514417,0.03722407510748782,0.0,0.009715909877514417
0.009715909877514362,0.009715909877514362,0.009715909877514362,0.009715909877514417
0.009715909877514362,0.03722407510748782,0.009715909877514362,0.009715909877514417
0.009715909877514417,0.009715909877514417,0.009715909877514362,0.009715909877514417
0.009715909877514417,0.009715909877514362,0.009715909877514362,0.002482919935802186
0.009715909877514362,0.009715909877514417,0.009715909877514362,1.4975015116824864E-8
0.009715909877514417,0.009715909877514362,0.009715909877514362,0.009715909877514417
0.037224075107487875,0.009715909877514362,0.009715909877514362,0.009715909877514362
0.009715909877514417,0.009715909877514362,0.0,0.009715909877519857
0.009715909877514417,0.009715909877514362,0.009715909877514362,3.3306690738754696E-16
0.009715909877514417,0.009715909877514362,0.009715909877514362,0.009715909877514417
0.009715909877514417,0.037224075107487875,0.009715909877514362,0.009715909877514417
0.009715909877514417,0.0,0.009715909877514362,2.2315373937598082E-8
0.009715909877514417,0.009715909877514362,0.009715909877514362,5.413712979573937E-7
0.009715909877514417,0.009715909877514417,0.009715909877514362,0.009715909877514417
0.009715909877514362,0.009715909877514362,0.009715909877514362,0.009715909877514417
0.12699051873930806,0.009715909877514362,0.009715909877514362,0.009715909877514362
