Turnir = 3,Turnir = 6,Turnir = 10,Turnir = 20,Turnir = 50
0.009715909877514362,0.037224075107487875,0.03722407510748782,0.1782228126183591,0.4207695652786735
0.009715909877514417,0.009715909877514417,0.009715909877514417,0.037224075107487875,0.12699051941218092
0.009715909877514417,0.009715909877514417,0.009715909877514417,0.009715909877514417,0.3732952668975797
0.009715909877514417,0.037224075107487875,0.12699051873930806,0.07818918215710596,0.03723333486868796
0.009715909877514362,0.009715909877514362,0.009715909877514417,0.009717786189694488,0.2728088764309399
0.0,0.07818918214340193,0.12699051873930806,0.009715909877514417,0.009727615750011465
0.009715909877514417,0.009715909877514362,0.009715909877514417,0.009715909883080964,0.17822231259723653
0.009715909877514362,0.009715909877514362,0.03722412491880989,0.03722407510748782,0.22769070114825646
0.009715909877514362,0.17822230254550503,0.07818918214340198,0.17822243461176485,0.12765372906744749
0.009715909877514417,0.17822230254550503,0.009715909877514417,0.31210314057239164,0.037238863165109215
0.037224075107487875,0.009715909877514417,0.009715910374570147,0.03722407512279169,0.12774821014861415
0.009715909877514417,0.009715909877514417,0.27274109610972747,0.009716065452372746,0.22771042108063577
7.256889615248063E-5,0.03722407510748782,0.03722407653657295,0.07818918483334814,0.00971591290568552
0.009715909877514362,0.009715909877514417,0.009715909877514417,0.07818918214340198,0.34550636406806723
0.009715909877514362,0.07818918214340198,0.009715909877514362,0.037230178834991634,0.2276940102334612
0.009715909877514362,0.009715909877514417,0.07818918214340193,0.17822230254550503,0.009718811573535657
0.009715909877514417,0.009715909877514362,0.12699051873930806,0.07818918214340198,0.27275159271827953
0.009715909877514362,0.009715909877514362,0.006745863046827394,0.03722407511646708,0.34550963739565765
0.009715909877514362,0.009501859484007724,0.009715909877514417,0.31210314057235095,0.31215784002378777
0.009715909877514362,0.009715909877514417,0.037224075107487875,0.009716439039645974,0.3732908000611559
0.009715909877514362,0.22769013852017794,0.03722417726766386,0.078189360163059,0.037233682438847115
0.009715909877514362,0.037224075107487875,0.009715909877514417,0.22769013852597725,0.037227936218091395
0.009715909877514362,0.009715909877514417,0.037224075107487875,0.07842009131579408,0.07819195436662207
0.009715909877514417,0.12699051873930806,0.009715909877514417,0.009715909877514473,0.03722430458214454
0.009715909877514362,0.037224075107487875,0.12699051873930806,0.078189226568737,0.07819671823609792
0.009715909877514362,0.07818918214340198,0.12699051873930806,0.010037582315703397,0.34550659126381944
0.009715909877514362,0.009715909877514417,0.009715909877514417,0.037224077112983256,0.2276924950433563
0.009715909877514362,0.009715909877514362,0.17822230254550503,0.17822230254550503,0.3121041350737032
0.009715909877514362,0.037224075107487875,0.009715909877514417,0.3121031405765015,0.07818921816293184
0.009715909877514417,0.009715909877514362,0.009715909877514417,0.1270022187056129,0.1269906690310102
0.009715909877514362,0.037224075107487875,0.009715909877514417,0.07819565667240785,0.37329073272058855
0.009715909877514362,0.07818918214340193,0.037224075107487875,0.07818918240291323,0.07818918220936388
0.03428738090587863,0.17822230254550503,0.009715909877514417,0.37329064987104016,0.12699115194811572
0.009715909877514417,0.03722407510748782,0.037224075107487875,0.12699051874498724,0.12699055264083497
0.009715909877514362,0.009715909877514362,0.07818918214340198,0.31210317377966035,0.3455320304017359
6.214076495036913E-7,0.03722407510748782,0.07818918214340198,0.227690138520178,0.46629508690149213
0.009715909877514362,0.009715909877514417,0.009715909877514417,0.009747108174858132,0.1269905195060147
0.009715909877514362,0.17822230254550503,0.03722407510748782,0.17822230254563287,0.12699186147380864
0.009715909877514362,0.009715909877514417,0.009715909877514417,0.27274109610972747,0.009914451999123441
0.0,0.009715909877514362,0.009715909877514417,0.17822230254550503,0.009715910680712203
